iter	Passed	Remaining
420	2086	2869
421	2089	2862
422	2093	2855
423	2096	2848
424	2103	2845
425	2105	2837
426	2109	2831
427	2113	2823
428	2117	2817
429	2119	2809
430	2122	2802
431	2125	2794
432	2132	2792
433	2135	2785
434	2138	2777
435	2142	2771
436	2147	2767
437	2151	2760
438	2159	2760
439	2165	2755
440	2168	2748
441	2171	2741
442	2179	2740
443	2183	2733
444	2185	2726
445	2192	2723
446	2196	2717
447	2198	2709
448	2201	2701
449	2207	2697
450	2210	2690
451	2212	2682
452	2215	2675
453	2221	2671
454	2224	2664
455	2227	2656
456	2229	2649
457	2234	2644
458	2238	2637
459	2241	2631
460	2243	2623
461	2252	2623
462	2255	2616
463	2258	2608
464	2260	2601
465	2267	2598
466	2270	2591
467	2273	2584
468	2276	2577
469	2282	2574
470	2285	2566
471	2288	2559
472	2291	2552
473	2297	2549
474	2300	2542
475	2303	2535
476	2306	2528
477	2315	2529
478	2319	2522
479	2328	2522
480	2333	2517
481	2336	2511
482	2343	2508
483	2345	2501
484	2349	2494
485	2356	2492
486	2359	2485
487	2363	2479
488	2366	2473
489	2372	2468
490	2375	2462
491	2377	2455
492	2380	2448
493	2384	2442
494	2388	2436
495	2390	2429
496	2396	2425
497	2399	2418
498	2402	2411
499	2405	2405
500	2411	2401
501	2414	2395
502	2417	2388
503	2421	2383
504	2426	2378
505	2430	2372
506	2435	2368
507	2442	2365
508	2445	2359
509	2449	2353
510	2453	2347
511	2458	2342
512	2461	2336
513	2464	2329
514	2467	2323
515	2471	2318
516	2474	2311
517	2477	2305
518	2480	2298
519	2487	2295
520	2490	2289
521	2493	2283
522	2495	2276
523	2502	2273
524	2506	2268
525	2509	2261
526	2516	2259
527	2521	2254
528	2524	2247
529	2536	2248
530	2538	2242
531	2541	2235
532	2549	2233
533	2552	2227
534	2556	2221
535	2560	2216
536	2566	2212
537	2569	2206
538	2572	2200
539	2579	2197
540	2582	2191
541	2585	2184
542	2590	2180
543	2595	2176
544	2599	2170
545	2603	2164
546	2606	2158
547	2610	2152
548	2613	2146
549	2619	2143
550	2623	2137
551	2626	2131
552	2629	2125
553	2637	2123
554	2640	2117
555	2643	2111
556	2650	2108
557	2654	2102
558	2657	2096
559	2665	2094
560	2668	2088
561	2671	2082
562	2674	2075
563	2682	2073
564	2686	2068
565	2690	2063
566	2697	2060
567	2700	2053
568	2703	2047
569	2705	2041
570	2712	2038
571	2717	2033
572	2721	2027
573	2727	2024
574	2730	2017
575	2732	2011
576	2735	2005
577	2742	2002
578	2747	1997
579	2752	1993
580	2755	1987
581	2758	1980
582	2761	1975
583	2763	1968
584	2769	1964
585	2772	1958
586	2775	1952
587	2781	1948
588	2784	1943
589	2787	1937
590	2790	1931
591	2795	1926
592	2799	1921
593	2802	1915
594	2806	1909
595	2810	1905
596	2815	1900
597	2819	1895
598	2822	1889
599	2831	1887
600	2834	1881
601	2837	1875
602	2843	1872
603	2847	1867
604	2850	1861
605	2853	1855
606	2859	1851
607	2862	1845
608	2864	1839
609	2867	1833
610	2872	1829
611	2876	1823
612	2879	1817
613	2882	1812
614	2889	1808
615	2892	1802
616	2895	1797
617	2897	1791
618	2904	1787
619	2908	1782
620	2911	1776
621	2918	1773
622	2922	1768
623	2925	1762
624	2928	1756
625	2933	1752
626	2936	1747
627	2940	1741
628	2943	1735
629	2946	1730
630	2950	1725
631	2952	1719
632	2955	1713
633	2958	1707
634	2966	1704
635	2969	1699
636	2972	1693
637	2977	1689
638	2980	1683
639	2983	1678
640	2986	1672
641	2991	1668
642	2995	1663
643	2998	1657
644	3002	1652
645	3009	1649
646	3013	1643
647	3016	1638
648	3019	1632
649	3025	1629
650	3028	1623
651	3032	1618
652	3038	1614
653	3041	1609
654	3044	1603
